_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;location
1896;Elémentaire Les Buzardières;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;21 Rue des Buzardières;02 40 38 30 51;www.saint-herblain.fr;44800;[ 47.2088514232617 , -1.66030960835991]
1897;Maternelle Condorcet;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;9 Rue de Tillay;02 51 80 71 89;www.saint-herblain.fr;44800;[ 47.2308043526394 , -1.60570785327337]
1898;Maternelle Crémetterie;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;15 Rue de l'Ecole;02 40 43 93 03;www.saint-herblain.fr;44800;[ 47.2157685273769 , -1.60848168577711]
1902;GRETA  Batiment et Travaux Publics;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;ST-HERBLAIN;30 Rue de la Dutée;02 40 92 99 99;www.Greta.ac-nantes.fr;44800;[ 47.2270239991639 , -1.64562426922102]
1904;Centre de Formation de Recherche Educative Sociale;5;ENSEIGNEMENT;507;Centre de formation;;;Privé;ST-HERBLAIN;Avenue des Thébaudières;02 40 63 82 44;www.ffp.org/ffp_annu/pages/organism/cefres.html;44800;[ 47.2443468878093 , -1.60802253250199]
1905;Centre de Formation des Apprentis du Batiment et TP;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;ST-HERBLAIN;Rue du Rémouleur;02 40 92 17 54;;44800;[ 47.2208058502725 , -1.65336489698453]
1907;Lycée Privé Technique Jeanne Bernard;5;ENSEIGNEMENT;505;Lycée;;;Privé;ST-HERBLAIN;48 Avenue de la Baraudière;02 40 76 40 97;;44800;[ 47.235981378873 , -1.59209450876761]
1908;Association Nationale de Formation Professionnelle Adultes;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;ST-HERBLAIN;23 Rue de la Rivaudière;02 40 38 14 00;www.afpa.fr;44800;[ 47.2240751140697 , -1.65179116337335]
1935;Maternelle Le Vieux Chêne;5;ENSEIGNEMENT;501;Maternelle;;;Public;ORVAULT;14 Rue du Raffuneau;02 28 01 11 56;;44700;[ 47.2732710322814 , -1.62453483848858]
1936;Elémentaire Le Vieux Chêne;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ORVAULT;14 Rue du Raffuneau;02 28 01 11 55;;44700;[ 47.2727241557227 , -1.62464677172845]
1937;Maternelle Salentine;5;ENSEIGNEMENT;501;Maternelle;;;Public;ORVAULT;Allée des Tilleuls;02 28 07 45 51;www.orvault.fr;44700;[ 47.2502969448552 , -1.60396408939999]
1938;Elémentaire Salentine;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ORVAULT;Allée des Tilleuls;02 28 07 49 54;www.orvault.fr;44700;[ 47.250198612164 , -1.60467248058559]
1939;Maternelle Ferrière;5;ENSEIGNEMENT;501;Maternelle;;;Public;ORVAULT;60 Avenue de la Ferrière;02 40 40 28 56;www.orvault.fr;44700;[ 47.2450325424864 , -1.5910501482815]
1940;Elémentaire Ferrière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ORVAULT;6 Avenue de la Jeunesse;02 40 76 88 13;www.orvault.fr;44700;[ 47.2456384287708 , -1.59091819232957]
1942;Primaire Emile Gibier;5;ENSEIGNEMENT;503;Primaire;;;Public;ORVAULT;6 Rue des Pins;02 28 01 11 85;emile-gibier.ecole.pagespro-orange.fr;44700;[ 47.253604378379 , -1.59572253481678]
1943;Maternelle Pont Marchand;5;ENSEIGNEMENT;501;Maternelle;;;Public;ORVAULT;26 Rue du Pont Marchand;02 28 07 49 11;www.orvault.fr;44700;[ 47.2634330362147 , -1.63185091680704]
1944;Elémentaire Bois-Raguenet;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ORVAULT;18 Avenue du Couchant;02 28 07 49 84;www.orvault.fr;44700;[ 47.2696443198266 , -1.59858628870202]
1945;Maternelle Bois-Raguenet;5;ENSEIGNEMENT;501;Maternelle;;;Public;ORVAULT;18 Avenue du Couchant;02 28 07 49 83;www.orvault.fr;44700;[ 47.2693638544989 , -1.59910620367067]
1946;Elementaire Bois-Saint-Louis;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ORVAULT;18 Rue des Lilas;02 40 76 73 42;www.orvault.fr;44700;[ 47.2464223001285 , -1.58246682006158]
1947;Maternelle Bois-Saint-Louis;5;ENSEIGNEMENT;501;Maternelle;;;Public;ORVAULT;18 Rue des Lilas;02 40 76 02 74;www.orvault.fr;44700;[ 47.2457278705104 , -1.58249860686947]
1950;Collège Jean Rostand;5;ENSEIGNEMENT;504;Collège;;;Public;ORVAULT;8 Avenue de la Jeunesse;02 40 76 60 16;www.orvault.fr;44700;[ 47.2464145473655 , -1.59288040505081]
1951;Lycée des Métiers Nicolas Appert;5;ENSEIGNEMENT;505;Lycée;;;Public;ORVAULT;24 Avenue de la Cholière;02 51 78 22 00;www.appert.e-lyco.fr;44700;[ 47.2522262549577 , -1.60910901066559]
