_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;location
1177;Elémentaire Jean Moulin;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;5 Rue de Chypre;02 40 47 91 11;;44000;[ 47.2156061718442 , -1.52258040765671]
1180;Elémentaire Jean Zay;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;19 Rue Yves Kartel;02 40 43 89 83;www.ecoles.mairie-nantes.fr;44100;[ 47.2092177938887 , -1.6079408418065]
1182;Elémentaire Louise Michel;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;21 Rue Paul Ramadier;02 40 47 84 83;;44200;[ 47.2058391852535 , -1.53076962518963]
1183;Elémentaire Louis Pergaud;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;6 Rue Louis Pergaud;02 40 30 20 85;www.ecoles.mairie-nantes.fr;44300;[ 47.2683692977203 , -1.51931504482704]
1184;Elémentaire Léon Say;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;34 Rue Léon Say;02 40 76 51 40;www.ecoles.mairie-nantes.fr;44000;[ 47.2296909154185 , -1.57005917079975]
1185;Elémentaire Le Baut;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;2T Rue des Renards;02 40 76 65 72;www.ecoles.mairie-nantes.fr;44300;[ 47.2541406879623 , -1.56216812403375]
1187;Elémentaire Le Linot;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;45 Rue du Port des Charrettes;02 40 30 33 20;eepu-le-linot-44.ac-nantes.fr;44300;[ 47.2680764767796 , -1.52751299915447]
1188;Elémentaire Maurice Macé;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;14 Rue du Pontereau;02 40 49 39 57;www.ecoles.mairie-nantes.fr;44300;[ 47.2369245691813 , -1.50456639144317]
1190;Elémentaire Marsauderies;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;1 Rue de la Bertinière;02 40 49 31 20;www.ecoles.mairie-nantes.fr;44300;[ 47.2431925414488 , -1.52958707532894]
1193;Collège Notre Dame de Toutes Aides;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;33 Boulevard Louis Millet;02 40 49 37 93;www.multimania.com/ndtoutesaides;44300;[ 47.2287248742004 , -1.51871418581438]
1195;Primaire Paul Gauguin;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;20 Rue de la Coulée;02 51 89 73 40;www.nantes.fr;44300;[ 47.2602704630742 , -1.57696619264606]
1196;Elémentaire Plantes;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;19 Rue des Plantes;02 40 76 90 26;;44100;[ 47.2343011948365 , -1.58326403269514]
1197;Elémentaire Plessis Cellier;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;59 Rue des Alouettes;02 40 43 49 33;www.ecoles.mairie-nantes.fr;44100;[ 47.2013500836278 , -1.60632445819134]
1198;Elémentaire Lucie Aubrac;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;47 Boulevard Jean Moulin;02 40 46 52 50;;44100;[ 47.2085211908765 , -1.59951301172358]
1199;Elémentaire Port Boyer;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;53 Rue de l'Eraudière;02 40 49 02 07;;44300;[ 47.239937802192 , -1.54174629051165]
1200;Collège Libertaire Rutigliano;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;60 Rue de l'Eraudière;02 40 49 60 14;;44300;[ 47.240101629581 , -1.54023569897613]
1202;Collège Sacré Coeur;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;13 Rue Giton;02 40 46 27 13;;44100;[ 47.2125611885212 , -1.58450695305203]
1203;Lycée Technique Saint Félix;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;27 Rue du Ballet;02 40 14 50 50;;44000;[ 47.2315444178922 , -1.56090457952964]
1204;Collège Saint Félix;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;27 Rue du Ballet;02 40 14 50 50;www.oceanet.fr/Entreprises/feliweb;44000;[ 47.2312960466174 , -1.55994950067099]
1205;Maternelle Elémentaire Saint Pierre;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;9 Rue du Refuge;02 40 47 98 10;;44000;[ 47.2194408851469 , -1.55277607271826]
1206;Collège Saint Stanislas;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;2 Rue Saint Stanislas;02 51 50 06 80;www.oceanet.fr/Associations/ststanislas;44000;[ 47.2238308575176 , -1.55586446371429]
1207;Elémentaire Stalingrad;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;12 Boulevard de Stalingrad;02 40 74 38 64;www.ecoles.mairie-nantes.fr;44000;[ 47.219470401664 , -1.53779345981124]
1209;Primaire Sainte Madeleine;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;10 Quai Hoche;02 40 47 93 79;;44200;[ 47.2063886194802 , -1.5519472922464]
1211;Collège Rosa Parks;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;91 Boulevard Pierre de Coubertin;02 40 94 29 50;;44100;[ 47.2304494284151 , -1.59307660172956]
1212;Elémentaire Urbain Le Verrier;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;11 Rue Urbain Le Verrier;02 40 49 62 72;www.ecoles.mairie-nantes.fr;44300;[ 47.2421340768273 , -1.52156499523898]
1214;Collège La Perverie;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;63 Rue de la Perverie;02 40 14 53 70;perverie.free.fr;44300;[ 47.2420094958546 , -1.56221819885733]
1215;Maternelle Elémentaire La Perverie;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;59 Rue de la Perverie;02 40 74 58 45;perverie.free.fr;44300;[ 47.2416293977111 , -1.56221588825209]
1216;Centre de Formation Horticole;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;34 Chemin du Ponceau;02 40 49 39 98;;44300;[ 47.2261561460732 , -1.51195739846782]
1218;Ecole Technique d'Arts Appliqués Pivaut;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;26 Rue Henri Cochard;02 40 29 15 92;;44000;[ 47.2234041294642 , -1.54911726334944]
1220;Institut des Métiers d'Enseignement Supérieur;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;7 Rue de Bréa;02 51 84 52 52;www.ims-nantes.com;44000;[ 47.211195800991 , -1.56535086614685]
1225;Lycée Sainte Catherine de Sienne hors contrat;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;32 Rue de la Bastille;02 40 20 22 01;;44000;[ 47.21889602652 , -1.56634117046492]
1226;Primaire Maison Neuve;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;5 Rue Eugénie Cotton;02 40 30 05 93;;44300;[ 47.259730961502 , -1.51657459181767]
1231;Elémentaire Henri Bergson;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;5 Rue de Madrid;02 40 47 60 89;www.nantes.fr;44000;[ 47.2137225426264 , -1.53110874872523]
1232;Primaire Harouys;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;12 Rue Harouys;02 40 20 08 22;;44000;[ 47.2181284282245 , -1.56501449651198]
1237;Ecole Centrale de Nantes;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;Rue de la Noë;02 40 37 16 00;www.ec-nantes.fr;44300;[ 47.2491193746626 , -1.54825763096979]
1241;Maternelle Elémentaire Sainte Catherine de Sienne;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;32 Rue de la Bastille;;;44000;[ 47.2191487879415 , -1.56646800975757]
1254;Lycée Professionnel Ecole Nantaise de Commerce d'Informatique et Administration;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;6 Rue Crébillon;02 40 48 40 24;www.enacom.fr;44000;[ 47.2141809754479 , -1.55971611849537]
1255;Ecole Nantaise Supérieure d'Enseignement Commerc. BTS;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;1 Place de la Bourse;02 40 48 41 13;www.enacom.fr;44000;[ 47.2130130788382 , -1.55896937558884]
1256;Ecole internationale TUNON;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;10 Rue Voltaire;02 40 73 65 29;;44000;[ 47.2125762253024 , -1.56426964028675]
1258;e-ARTSUP;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;28 Rue Armand Brossard;02 40 89 07 52;www.e-artsup.net/ecole-e-artsup-nantes.aspx;44000;[ 47.218733424815 , -1.55615879261522]
1270;Institut Régional Formation aux Professions Santé ,Ecole Puéricultrices;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;50 Route de Saint Sébastien;02 40 84 68 14;www.chu-nantes.fr;44200;[ 47.198572996159 , -1.53022527092003]
1271;Ecole de Sages Femmes CHU;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;7 Quai Moncousu;02 40 38 33 33;www.chu-nantes.fr;44000;[ 47.2095691012972 , -1.55244667210769]
1272;Faculté d'Odontologie de Nantes;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;1 Place Alexis Ricordeau;02 40 41 29 21;www.sante.univ-nantes.fr;44000;[ 47.2118195171311 , -1.5536458385882]
1274;IDRAC - Ecole Supérieure de Communication;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;11 Rue des Saumonières;02 40 29 38 14;;44300;[ 47.2547943874052 , -1.55220566582065]
1280;Centre Universitaire Formation Continue;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;2B Boulevard Léon Bureau;02 51 25 07 25;www.umedia.univ-nantes.fr;44200;[ 47.2058598707853 , -1.56549388081654]
1312;Ecole Supérieure du Bois;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;5 Rue Christian Pauc;02 40 48 12 12;www.euronature.com/bois;44300;[ 47.2837418201738 , -1.51496091214382]
1339;Ecole de Design Nantes Atlantique;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;Rue Christian Pauc;02 51 13 50 70;www.lecolededesign.com;44300;[ 47.2833053544838 , -1.51779124256056]
1340;UFR Psychologie et Sociologie;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;11 Chemin de la Censive du Tertre;02 40 14 17 17;www.univ-nantes.fr;44300;[ 47.2449819899243 , -1.55259151168608]
1342;Sciences Techniques Activités Physiques Sportives;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;25B Boulevard Guy Mollet;02 51 83 72 00;www.sciences.univ-nantes.fr/STAPS;44300;[ 47.2516663323456 , -1.55562174198913]
1349;Fédération Compagnonique des Métiers du Bâtiment;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;29 Rue de l'Indre;02 40 47 48 13;www.compagnons.org;44000;[ 47.2140001709514 , -1.53759243373589]
1350;Association Nationale Formation Professionnelle Adultes Nord;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;4 Avenue Millet;02 51 86 08 50;www.afpa.fr;44000;[ 47.2206978136566 , -1.52943195881657]
1431;Ecole Régionale des Beaux Arts de Nantes (Annexe 1);5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;2B Rue des Olivettes;;www.acad-beaux-arts.institut-de-france.fr;44000;[ 47.2123219817129 , -1.55034685099265]
1432;Ecole Régionale des Beaux Arts de Nantes (Annexe 2);5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;3 Rue de la Commune;;www.acad-beaux-arts.institut-de-france.fr;44000;[ 47.2181845309669 , -1.55373150547977]
1545;Maternelle Jean Zay 2;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;19 Rue Yves Kartel;02 40 43 85 00;;44100;[ 47.2085772687533 , -1.60798642847999]
1551;Institut Formation Carrières Para Médicales BTS;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;12 Rue Gaëtan Rondeau;02 40 47 67 28;;44200;[ 47.2064076521564 , -1.53613782226144]
1552;Centre de Ressources et de Formation;5;ENSEIGNEMENT;507;Centre de formation;;;Privé;NANTES;6 Rue de l'Etang;02 51 80 62 30;;44100;[ 47.2035562490469 , -1.6055121020513]
1553;Institut des Carrières Européennes de l'Expertise (ICEE);5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;15 Rue Monteil;02 40 35 36 37;www.icee.fr;44000;[ 47.2127469651411 , -1.54720873784084]
1554;Le Pont Supérieur ( Pole d'enseignement supérieur du spectacle vivant Bretagne P;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;32 Rue Emile Péhant;02 40 89 90 50;www.lepontsuperieur.eu;44000;[ 47.2120583777218 , -1.54957149207293]
1576;Association Nationale Formation Professionnelle Adultes;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;36 Rue Paul Bert;02 40 38 23 23;www.afpa.fr;44100;[ 47.2125147454673 , -1.59478900292605]
1577;Association Nationale  Formation Professionnelle Adultes Sud;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;1 Rue Esnoult des Châtelets;02 40 32 80 20;www.afpa.fr;44200;[ 47.1968186968208 , -1.54035393578444]
